Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240118W
A0A3M6UGN6	A0A3M6UGN6_POCDA	unreviewed	pdam_00011341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1879	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX52840.1
A0A2B4RXV1	A0A2B4RXV1_STYPI	unreviewed	THAP2 AWC38_SpisGene14366	Stylophora pistillata (Smooth cauliflower coral)	THAP domain-containing protein 2	541	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX21158.1
A0A2B4RGZ8	A0A2B4RGZ8_STYPI	unreviewed	PGBD5 AWC38_SpisGene20022	Stylophora pistillata (Smooth cauliflower coral)	PiggyBac transposable element-derived protein 5	1072			PFX15760.1
A0A2B4RSM7	A0A2B4RSM7_STYPI	unreviewed	Gtf2a2 AWC38_SpisGene16023	Stylophora pistillata (Smooth cauliflower coral)	Transcription initiation factor IIA subunit 2	532	transcription factor TFIIA complex [GO:0005672]; translation initiation factor activity [GO:0003743]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0003743; GO:0005672; GO:0006367	PFX19550.1
A0A3M6U5W6	A0A3M6U5W6_POCDA	unreviewed	pdam_00003902	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	648			RMX49082.1
A0A3M6THG1	A0A3M6THG1_POCDA	unreviewed	pdam_00006523	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	506	integral component of membrane [GO:0016021]	GO:0016021	RMX40837.1
A0A3M6TMQ6	A0A3M6TMQ6_POCDA	unreviewed	pdam_00010266	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	352	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX42649.1
A0A2B4RFF6	A0A2B4RFF6_STYPI	unreviewed	pol AWC38_SpisGene20725	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	883	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX15077.1
A0A3M6TPS9	A0A3M6TPS9_POCDA	unreviewed	pdam_00023650	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Intraflagellar transport protein 46 homolog	320	cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; intraciliary transport [GO:0042073]	GO:0005737; GO:0005856; GO:0005929; GO:0042073	RMX43413.1
A0A3M6V328	A0A3M6V328_POCDA	unreviewed	pdam_00024159	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	364			RMX60331.1
A0A3M6UI49	A0A3M6UI49_POCDA	unreviewed	pdam_00022796	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	121			RMX53305.1
A0A2B4RAY9	A0A2B4RAY9_STYPI	unreviewed	Spata6 AWC38_SpisGene22227	Stylophora pistillata (Smooth cauliflower coral)	Spermatogenesis-associated protein 6	681	integral component of membrane [GO:0016021]; sperm connecting piece [GO:0097224]; myosin light chain binding [GO:0032027]; spermatogenesis [GO:0007283]	GO:0007283; GO:0016021; GO:0032027; GO:0097224	PFX13670.1
A0A2B4SNC1	A0A2B4SNC1_STYPI	unreviewed	K02A2.6 AWC38_SpisGene5164	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	574			PFX30078.1
A0A2B4RPQ3	A0A2B4RPQ3_STYPI	unreviewed	Cad96Ca AWC38_SpisGene16831	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1499	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0004714; GO:0005044; GO:0005524; GO:0005886; GO:0007155; GO:0007411; GO:0016021	PFX18779.1
A0A3M6V4Y5	A0A3M6V4Y5_POCDA	unreviewed	pdam_00007577	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3652	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; G protein-coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]; protein kinase activity [GO:0004672]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0004672; GO:0004930; GO:0005524; GO:0005886; GO:0007399; GO:0008201; GO:0016021; GO:0030154	RMX61023.1
A0A3M6UBX6	A0A3M6UBX6_POCDA	unreviewed	pdam_00015792	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2373	integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146]	GO:0008146; GO:0016021	RMX51141.1
A0A3M6UC77	A0A3M6UC77_POCDA	unreviewed	pdam_00015788	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	124			RMX51156.1
A0A3M6V6Y7	A0A3M6V6Y7_POCDA	unreviewed	pdam_00020432	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	648	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX61565.1
A0A3M6V7A6	A0A3M6V7A6_POCDA	unreviewed	pdam_00020436	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1163	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX61570.1
A0A2B4R4N2	A0A2B4R4N2_STYPI	unreviewed	Prkrir AWC38_SpisGene24400	Stylophora pistillata (Smooth cauliflower coral)	52 kDa repressor of the inhibitor of the protein kinase	575	kinase activity [GO:0016301]	GO:0016301	PFX11763.1
A0A3M6URA4	A0A3M6URA4_POCDA	unreviewed	pdam_00011678	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	4150	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005886; GO:0007156; GO:0016021	RMX56253.1
A0A3M6U196	A0A3M6U196_POCDA	unreviewed	pdam_00002143	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AB hydrolase-1 domain-containing protein	365	integral component of membrane [GO:0016021]	GO:0016021	RMX47453.1
A0A2B4RLB6	A0A2B4RLB6_STYPI	unreviewed	GAL3ST1 AWC38_SpisGene17232	Stylophora pistillata (Smooth cauliflower coral)	Galactosylceramide sulfotransferase	1531	integral component of membrane [GO:0016021]; galactosylceramide sulfotransferase activity [GO:0001733]; glycolipid biosynthetic process [GO:0009247]	GO:0001733; GO:0009247; GO:0016021	PFX18391.1
A0A3M6UER2	A0A3M6UER2_POCDA	unreviewed	pdam_00012189	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	465			RMX51908.1
A0A2B4RXM2	A0A2B4RXM2_STYPI	unreviewed	SYT15 AWC38_SpisGene14546	Stylophora pistillata (Smooth cauliflower coral)	Synaptotagmin-15	917	integral component of membrane [GO:0016021]	GO:0016021	PFX20992.1
A0A3M6UE12	A0A3M6UE12_POCDA	unreviewed	pdam_00012177	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	778	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled GABA receptor activity [GO:0004965]	GO:0004965; GO:0005886; GO:0016021	RMX51923.1
A0A2B4SX55	A0A2B4SX55_STYPI	unreviewed	AWC38_SpisGene1319	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	87			PFX33769.1
A0A2B4R7X0	A0A2B4R7X0_STYPI	unreviewed	K02A2.6 AWC38_SpisGene23044	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	824			PFX12923.1
A0A3M6TSM3	A0A3M6TSM3_POCDA	unreviewed	pdam_00018854	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Sulfotransfer_1 domain-containing protein (Fragment)	396	sulfotransferase activity [GO:0008146]	GO:0008146	RMX44319.1
A0A3M6TSC7	A0A3M6TSC7_POCDA	unreviewed	pdam_00018863	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	124			RMX44313.1
A0A2B4SB16	A0A2B4SB16_STYPI	unreviewed	Fam92b AWC38_SpisGene9723	Stylophora pistillata (Smooth cauliflower coral)	Protein FAM92B	433	ATP binding [GO:0005524]; kinase activity [GO:0016301]	GO:0005524; GO:0016301	PFX25645.1
A0A3M6TSD4	A0A3M6TSD4_POCDA	unreviewed	pdam_00018878	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1113			RMX44323.1
A0A3M6UU26	A0A3M6UU26_POCDA	unreviewed	pdam_00025365	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	512			RMX57150.1
A0A3M6UXK3	A0A3M6UXK3_POCDA	unreviewed	pdam_00025236	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	367			RMX58416.1
A0A2B4SLX3	A0A2B4SLX3_STYPI	unreviewed	RTase AWC38_SpisGene5168	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	744	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX30073.1
A0A3M6UPE3	A0A3M6UPE3_POCDA	unreviewed	pdam_00020559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	816			RMX55502.1
A0A3M6UPZ6	A0A3M6UPZ6_POCDA	unreviewed	pdam_00024153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	COR domain-containing protein (Fragment)	1185	nucleotide binding [GO:0000166]	GO:0000166	RMX55428.1
A0A2B4RRS8	A0A2B4RRS8_STYPI	unreviewed	AWC38_SpisGene14370	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	739	integral component of membrane [GO:0016021]	GO:0016021	PFX21144.1
A0A3M6V6G9	A0A3M6V6G9_POCDA	unreviewed	pdam_00013711	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	578	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX61546.1
A0A3M6V754	A0A3M6V754_POCDA	unreviewed	pdam_00013706	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	272	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX61560.1
A0A3M6V778	A0A3M6V778_POCDA	unreviewed	pdam_00013707	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	LEM domain-containing protein	243	integral component of membrane [GO:0016021]	GO:0016021	RMX61559.1
A0A2B4S237	A0A2B4S237_STYPI	unreviewed	xrn-2 AWC38_SpisGene12343	Stylophora pistillata (Smooth cauliflower coral)	5'-3' exoribonuclease 2-like	1260	exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004527	PFX23109.1
A0A3M6UR46	A0A3M6UR46_POCDA	unreviewed	pdam_00021631	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	123			RMX56130.1
A0A2B4RYX3	A0A2B4RYX3_STYPI	unreviewed	CRNKL1 AWC38_SpisGene11791	Stylophora pistillata (Smooth cauliflower coral)	Crooked neck-like protein 1	683	nucleus [GO:0005634]; mRNA processing [GO:0006397]	GO:0005634; GO:0006397	PFX23654.1
A0A2B4S8N9	A0A2B4S8N9_STYPI	unreviewed	AWC38_SpisGene8253	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	131			PFX27034.1
A0A2B4RJU4	A0A2B4RJU4_STYPI	unreviewed	AWC38_SpisGene19221	Stylophora pistillata (Smooth cauliflower coral)	OTU domain-containing protein	1500	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197	PFX16502.1
A0A3M6V390	A0A3M6V390_POCDA	unreviewed	pdam_00019307	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1212			RMX60018.1
A0A2B4RIG0	A0A2B4RIG0_STYPI	unreviewed	AWC38_SpisGene18286	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	557			PFX17391.1
A0A3M6TBS4	A0A3M6TBS4_POCDA	unreviewed	pdam_00016755	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	398			RMX38820.1
A0A2B4S069	A0A2B4S069_STYPI	unreviewed	AWC38_SpisGene13535	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	326	integral component of membrane [GO:0016021]	GO:0016021	PFX21958.1
A0A3M6UUM9	A0A3M6UUM9_POCDA	unreviewed	pdam_00023481	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1489	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX57396.1
A0A2B4RT40	A0A2B4RT40_STYPI	unreviewed	AWC38_SpisGene15863	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	402			PFX19720.1
A0A3M6UCB3	A0A3M6UCB3_POCDA	unreviewed	pdam_00021899	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	997	integral component of membrane [GO:0016021]	GO:0016021	RMX51337.1
A0A3M6US85	A0A3M6US85_POCDA	unreviewed	pdam_00008846	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein (Fragment)	205			RMX56427.1
A0A2B4RCW4	A0A2B4RCW4_STYPI	unreviewed	Edil3 AWC38_SpisGene21516	Stylophora pistillata (Smooth cauliflower coral)	EGF-like repeat and discoidin I-like domain-containing protein 3	827			PFX14330.1
A0A3M6UW96	A0A3M6UW96_POCDA	unreviewed	pdam_00025437	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	COR domain-containing protein	937	nucleotide binding [GO:0000166]	GO:0000166	RMX57869.1
A0A3M6U227	A0A3M6U227_POCDA	unreviewed	pdam_00026076	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	144			RMX47690.1
A0A3M6U4L7	A0A3M6U4L7_POCDA	unreviewed	pdam_00008464	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1589			RMX48509.1
A0A2B4S409	A0A2B4S409_STYPI	unreviewed	LRG1 AWC38_SpisGene12161	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich alpha-2-glycoprotein	974	integral component of membrane [GO:0016021]	GO:0016021	PFX23298.1
A0A3M6UPY7	A0A3M6UPY7_POCDA	unreviewed	pdam_00015493	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	684			RMX55747.1
A0A3M6UQ28	A0A3M6UQ28_POCDA	unreviewed	pdam_00015495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	39S ribosomal protein L17, mitochondrial	166	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	RMX55742.1
A0A2B4S351	A0A2B4S351_STYPI	unreviewed	ABCC4 AWC38_SpisGene12477	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	2705	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX22998.1
A0A3M6V3B9	A0A3M6V3B9_POCDA	unreviewed	pdam_00017109	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	810	integral component of membrane [GO:0016021]	GO:0016021	RMX60412.1
A0A3M6UQS7	A0A3M6UQS7_POCDA	unreviewed	pdam_00016397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	453	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX55995.1
A0A3M6ULS4	A0A3M6ULS4_POCDA	unreviewed	pdam_00023671	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1155	integral component of membrane [GO:0016021]	GO:0016021	RMX54592.1
A0A2B4R3I3	A0A2B4R3I3_STYPI	unreviewed	AWC38_SpisGene23899	Stylophora pistillata (Smooth cauliflower coral)	DNA-directed DNA polymerase (EC 2.7.7.7)	1289	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	PFX12181.1
A0A3M6UG50	A0A3M6UG50_POCDA	unreviewed	pdam_00016846	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	334			RMX52633.1
A0A2B4RQ82	A0A2B4RQ82_STYPI	unreviewed	pol AWC38_SpisGene16640	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	688			PFX18959.1
A0A3M6U8K5	A0A3M6U8K5_POCDA	unreviewed	pdam_00024393	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1078	nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; SWI/SNF complex [GO:0016514]	GO:0016514; GO:0071564; GO:0071565	RMX49977.1
A0A3M6TWE4	A0A3M6TWE4_POCDA	unreviewed	pdam_00010591	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2783	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]	GO:0016021; GO:0030246	RMX45614.1
A0A3M6TD74	A0A3M6TD74_POCDA	unreviewed	pdam_00017863	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	173			RMX39313.1
A0A3M6TD26	A0A3M6TD26_POCDA	unreviewed	pdam_00017856	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	361			RMX39302.1
A0A3M6UQ21	A0A3M6UQ21_POCDA	unreviewed	pdam_00019089	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	324	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	RMX55699.1
A0A3M6UQR3	A0A3M6UQR3_POCDA	unreviewed	pdam_00019088	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	1037	integral component of membrane [GO:0016021]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021	RMX55698.1
A0A2B4S6K8	A0A2B4S6K8_STYPI	unreviewed	UBA1 AWC38_SpisGene10724	Stylophora pistillata (Smooth cauliflower coral)	Ubiquitin-activating enzyme E1 (EC 6.2.1.45)	2046	ATP binding [GO:0005524]; ubiquitin activating enzyme activity [GO:0004839]	GO:0004839; GO:0005524	PFX24673.1
A0A3M6TSN6	A0A3M6TSN6_POCDA	unreviewed	pdam_00011219	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	205			RMX44413.1
A0A3M6UUC1	A0A3M6UUC1_POCDA	unreviewed	pdam_00023904	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	OTU domain-containing protein	514			RMX57272.1
A0A3M6US88	A0A3M6US88_POCDA	unreviewed	pdam_00007232	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Beta-galactosidase (EC 3.2.1.23)	1286	beta-galactosidase activity [GO:0004565]; carbohydrate metabolic process [GO:0005975]	GO:0004565; GO:0005975	RMX56530.1
A0A3M6TY47	A0A3M6TY47_POCDA	unreviewed	pdam_00018135	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Angiotensin-converting enzyme (EC 3.4.-.-)	575	membrane [GO:0016020]; carboxypeptidase activity [GO:0004180]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]	GO:0004180; GO:0008237; GO:0008241; GO:0016020; GO:0046872	RMX46224.1
A0A3M6TXY2	A0A3M6TXY2_POCDA	unreviewed	pdam_00018136	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Angiotensin-converting enzyme (EC 3.4.-.-)	656	membrane [GO:0016020]; carboxypeptidase activity [GO:0004180]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]	GO:0004180; GO:0008237; GO:0008241; GO:0016020; GO:0046872	RMX46226.1
A0A3M6TY64	A0A3M6TY64_POCDA	unreviewed	pdam_00018149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	455			RMX46238.1
A0A2B4SBC1	A0A2B4SBC1_STYPI	unreviewed	AWC38_SpisGene9590	Stylophora pistillata (Smooth cauliflower coral)	AB hydrolase-1 domain-containing protein	580			PFX25755.1
A0A3M6UU78	A0A3M6UU78_POCDA	unreviewed	pdam_00022803	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	349	ATP binding [GO:0005524]; nucleosome-dependent ATPase activity [GO:0070615]	GO:0005524; GO:0070615	RMX57221.1
A0A2B4RXM7	A0A2B4RXM7_STYPI	unreviewed	NLRP12 AWC38_SpisGene12275	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	1126			PFX23204.1
A0A3M6TKG9	A0A3M6TKG9_POCDA	unreviewed	pdam_00019618	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	527	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX41859.1
A0A2B4RFW8	A0A2B4RFW8_STYPI	unreviewed	AWC38_SpisGene19219	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	4817	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX16501.1
A0A498LP56	A0A498LP56_LABRO	unreviewed	ROHU_031816	Labeo rohita (Indian major carp) (Cyprinus rohita)	RNA-directed DNA polymerase from mobile element jockey-like protein	1112	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	RXN08554.1
A0A3M6V284	A0A3M6V284_POCDA	unreviewed	pdam_00021217	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	573	integral component of membrane [GO:0016021]	GO:0016021	RMX59668.1
A0A3M6UP84	A0A3M6UP84_POCDA	unreviewed	pdam_00013321	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DDE_Tnp_IS1595 domain-containing protein	155			RMX55486.1
A0A2B4RFG8	A0A2B4RFG8_STYPI	unreviewed	NLRP12 AWC38_SpisGene20793	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	929			PFX15012.1
A0A3M6UQ47	A0A3M6UQ47_POCDA	unreviewed	pdam_00015489	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	141			RMX55741.1
A0A2B4R8Q4	A0A2B4R8Q4_STYPI	unreviewed	AWC38_SpisGene23085	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon TNT 1-94	1025	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX12880.1
A0A3M6T4M3	A0A3M6T4M3_POCDA	unreviewed	pdam_00003789	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	656	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729	RMX35502.1
A0A3M6T4Q1	A0A3M6T4Q1_POCDA	unreviewed	pdam_00003776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	483			RMX35516.1
A0A2B4SLY3	A0A2B4SLY3_STYPI	unreviewed	AWC38_SpisGene5839	Stylophora pistillata (Smooth cauliflower coral)	Dimer_Tnp_hAT domain-containing protein	704	protein dimerization activity [GO:0046983]	GO:0046983	PFX29415.1
A0A3M6TJ07	A0A3M6TJ07_POCDA	unreviewed	pdam_00018334	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	470	integral component of membrane [GO:0016021]	GO:0016021	RMX41311.1
A0A3M6TIV5	A0A3M6TIV5_POCDA	unreviewed	pdam_00018335	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	223			RMX41310.1
A0A3M6U217	A0A3M6U217_POCDA	unreviewed	pdam_00020623	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	901	RSF complex [GO:0031213]; metal ion binding [GO:0046872]; regulation of transcription, DNA-templated [GO:0006355]	GO:0006355; GO:0031213; GO:0046872	RMX47636.1
A0A3M6UK59	A0A3M6UK59_POCDA	unreviewed	pdam_00014888	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Dual-specificity kinase (EC 2.7.12.1) (Fragment)	694	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein threonine kinase activity [GO:0106311]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004712; GO:0004714; GO:0005524; GO:0106310; GO:0106311	RMX54002.1
A0A3M6V948	A0A3M6V948_POCDA	unreviewed	pdam_00018290	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	369	calcium ion binding [GO:0005509]	GO:0005509	RMX61398.1
A0A2B4S734	A0A2B4S734_STYPI	unreviewed	HTR2A AWC38_SpisGene8841	Stylophora pistillata (Smooth cauliflower coral)	5-hydroxytryptamine receptor 2A	688	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX26474.1
A0A3M6URF9	A0A3M6URF9_POCDA	unreviewed	pdam_00011681	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	636	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX56242.1
A0A3M6UBB5	A0A3M6UBB5_POCDA	unreviewed	pdam_00017959	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	H(+)-transporting two-sector ATPase (EC 7.1.2.2)	629	proton-transporting V-type ATPase, V1 domain [GO:0033180]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	GO:0005524; GO:0033180; GO:0046933; GO:0046961	RMX50758.1
A0A2B4SJ59	A0A2B4SJ59_STYPI	unreviewed	Dtnb AWC38_SpisGene5307	Stylophora pistillata (Smooth cauliflower coral)	Dystrobrevin beta	1710	extracellular region [GO:0005576]; phospholipase A2 activity [GO:0004623]; zinc ion binding [GO:0008270]; arachidonic acid secretion [GO:0050482]; phospholipid metabolic process [GO:0006644]	GO:0004623; GO:0005576; GO:0006644; GO:0008270; GO:0050482	PFX29921.1
